-; GreyBlock; (-68, -366); [Coordinates(0.4499999999999995, 2.0249999999999964), 50, 50]
-; GreyBlock; (-360, -363); [Coordinates(0.4499999999999995, 1.6249999999999978), 50, 50]
-; GreyBlock; (-360, -287); [Coordinates(1.0, 0.4499999999999994), 50, 50]
-; GreyBlock; (-311, -315); [Coordinates(0.4499999999999995, 1.0), 50, 50]
-; GreyBlock; (-311, -363); [Coordinates(0.4499999999999995, 1.0), 50, 50]
-; GreyBlock; (-276, -316); [Coordinates(0.4499999999999995, 1.0), 50, 50]
-; GreyBlock; (-259, -364); [Coordinates(1.0, 0.4499999999999994), 50, 50]
-; GreyBlock; (-259, -319); [Coordinates(1.0, 0.4249999999999995), 50, 50]
-; GreyBlock; (-231, -361); [Coordinates(0.4499999999999995, 1.0), 50, 50]
-; GreyBlock; (-276, -364); [Coordinates(0.4499999999999995, 1.0), 50, 50]
-; GreyBlock; (-239, -315); [Coordinates(0.37499999999999944, 1.0), 50, 50]
-; GreyBlock; (-119, -366); [Coordinates(0.49999999999999956, 0.7499999999999997), 50, 50]
-; GreyBlock; (-179, -315); [Coordinates(0.4499999999999995, 1.0), 50, 50]
-; GreyBlock; (-141, -346); [Coordinates(0.5249999999999996, 0.6749999999999996), 50, 50]
-; GreyBlock; (-159, -366); [Coordinates(0.39999999999999947, 0.7249999999999996), 50, 50]
-; GreyBlock; (-179, -366); [Coordinates(0.4499999999999995, 1.1249999999999996), 50, 50]
-; GreyBlock; (-372, -258); [Coordinates(16.90000000000011, 0.37499999999999933), 50, 50]
-; GreyBlock; (-46, -366); [Coordinates(1.0, 0.49999999999999944), 50, 50]
-; GreyBlock; (-96, -366); [Coordinates(0.4499999999999995, 2.0249999999999964), 50, 50]
-; GreyBlock; (-53, -290); [Coordinates(1.1749999999999994, 0.49999999999999956), 50, 50]
-; GreyBlock; (1, -366); [Coordinates(0.49999999999999956, 2.0249999999999964), 50, 50]
-; GreyBlock; (33, -366); [Coordinates(0.4499999999999995, 2.0249999999999964), 50, 50]
-; GreyBlock; (50, -366); [Coordinates(0.47499999999999953, 0.6749999999999996), 50, 50]
-; GreyBlock; (72, -351); [Coordinates(0.5499999999999996, 0.7999999999999998), 50, 50]
-; GreyBlock; (116, -367); [Coordinates(0.49999999999999956, 2.0499999999999963), 50, 50]
-; GreyBlock; (97, -367); [Coordinates(0.6999999999999997, 0.7749999999999997), 50, 50]
-; GreyBlock; (-371, -395); [Coordinates(16.925000000000107, 0.37499999999999944), 50, 50]
