-; GreyBlock; (-365, -281); [Coordinates(0.17499999999999938, 5.900000000000016), 50, 50]
-; GreyBlock; (-358, -294); [Coordinates(0.2999999999999994, 0.3499999999999993), 50, 50]
-; GreyBlock; (-346, -503); [Coordinates(0.22499999999999937, 4.274999999999993), 50, 50]
-; GreyBlock; (-306, -502); [Coordinates(0.0749999999999994, 4.699999999999999), 50, 50]
-; GreyBlock; (-303, -396); [Coordinates(0.5249999999999996, 0.14999999999999938), 50, 50]
-; GreyBlock; (-287, -412); [Coordinates(0.22499999999999937, 0.3499999999999994), 50, 50]
-; GreyBlock; (-283, -423); [Coordinates(0.3499999999999994, 0.24999999999999925), 50, 50]
-; GreyBlock; (-270, -457); [Coordinates(0.17499999999999938, 0.8249999999999998), 50, 50]
-; GreyBlock; (-268, -465); [Coordinates(0.5749999999999996, 0.22499999999999937), 50, 50]
-; GreyBlock; (-244, -491); [Coordinates(0.0999999999999994, 0.6999999999999997), 50, 50]
-; GreyBlock; (-241, -495); [Coordinates(0.4499999999999995, 0.17499999999999938), 50, 50]
-; GreyBlock; (-261, -368); [Coordinates(0.0999999999999994, 0.6999999999999997), 50, 50]
-; GreyBlock; (-258, -370); [Coordinates(0.49999999999999956, 0.12499999999999939), 50, 50]
-; GreyBlock; (-236, -413); [Coordinates(0.0749999999999994, 1.0), 50, 50]
-; GreyBlock; (-236, -417); [Coordinates(0.5499999999999996, 0.12499999999999928), 50, 50]
-; GreyBlock; (-211, -455); [Coordinates(0.0749999999999994, 0.8249999999999998), 50, 50]
-; GreyBlock; (-210, -484); [Coordinates(0.12499999999999939, 0.6749999999999997), 50, 50]
-; GreyBlock; (-226, -489); [Coordinates(0.39999999999999947, 0.14999999999999938), 50, 50]
-; GreyBlock; (-266, -335); [Coordinates(0.12499999999999939, 1.0999999999999996), 50, 50]
-; GreyBlock; (-341, -510); [Coordinates(0.7749999999999998, 0.22499999999999937), 50, 50]
-; GreyBlock; (-261, -296); [Coordinates(0.4249999999999995, 0.3249999999999994), 50, 50]
-; GreyBlock; (-252, -309); [Coordinates(0.6249999999999997, 0.2999999999999994), 50, 50]
-; GreyBlock; (-234, -314); [Coordinates(0.4499999999999995, 0.14999999999999938), 50, 50]
-; GreyBlock; (-220, -322); [Coordinates(0.19999999999999937, 0.19999999999999937), 50, 50]
-; GreyBlock; (-217, -330); [Coordinates(0.4249999999999995, 0.19999999999999937), 50, 50]
-; GreyBlock; (-210, -342); [Coordinates(0.3499999999999994, 0.2999999999999994), 50, 50]
-; GreyBlock; (-182, -394); [Coordinates(0.14999999999999938, 0.5249999999999996), 50, 50]
