-; Spawn; (-1180, 43); [Coordinates(1, 1)]
-; GreyBlock; (-1265, 127); [Coordinates(62.7999999999975, 1.0), 50, 50]
-; GreyBlock; (-1265, -2528); [Coordinates(62.67499999999751, 1.0), 50, 50]
-; GreyBlock; (-1265, -2501); [Coordinates(1.0, 52.79999999999807), 50, 50]
-; GreyBlock; (1824, -2528); [Coordinates(1.0, 54.049999999998), 50, 50]
-; GreyBlock; (-1095, -6); [Coordinates(1.0, 2.999999999999993), 50, 50]
-; GreyBlock; (-1094, -6); [Coordinates(4.299999999999994, 1.0), 50, 50]
-; GreyBlock; (-1095, -432); [Coordinates(1.0, 6.325000000000022), 50, 50]
-; GreyBlock; (-1091, -1175); [Coordinates(1.0, 11.7250000000001), 50, 50]
-; GreyBlock; (-1224, -1175); [Coordinates(2.8249999999999935, 1.0), 50, 50]
-; GreyBlock; (-1091, -1684); [Coordinates(1.0, 2.274999999999996), 50, 50]
-; GreyBlock; (-1095, -1924); [Coordinates(1.0, 1.3499999999999988), 50, 50]
-; GreyBlock; (-1095, -2157); [Coordinates(1.0, 4.900000000000002), 50, 50]
-; GreyBlock; (-1233, -2354); [Coordinates(3.87499999999999, 0.9749999999999999), 50, 50]
-; GreyBlock; (-1067, -2157); [Coordinates(4.900000000000002, 1.0), 50, 50]
-; GreyBlock; (-874, -2357); [Coordinates(1.0, 4.524999999999997), 50, 50]
-; GreyBlock; (-874, -2361); [Coordinates(8.525000000000054, 1.0), 50, 50]
-; GreyBlock; (-495, -2361); [Coordinates(1.0, 4.900000000000002), 50, 50]
-; GreyBlock; (-653, -2164); [Coordinates(16.70000000000012, 1.0), 50, 50]
-; GreyBlock; (-258, -2481); [Coordinates(1.0, 3.3249999999999917), 50, 50]
-; GreyBlock; (-258, -2350); [Coordinates(4.399999999999995, 1.0), 50, 50]
-; GreyBlock; (132, -2346); [Coordinates(1.0, 9.02500000000006), 50, 50]
-; GreyBlock; (147, -2346); [Coordinates(4.800000000000001, 1.0), 50, 50]
-; GreyBlock; (297, -2142); [Coordinates(1.0, 5.175000000000006), 50, 50]
-; GreyBlock; (-878, -1913); [Coordinates(5.675000000000013, 1.0), 50, 50]
-; GreyBlock; (-1237, -1723); [Coordinates(11.675000000000098, 1.0), 50, 50]
-; GreyBlock; (-878, -1906); [Coordinates(1.0, 4.274999999999993), 50, 50]
-; GreyBlock; (-1091, -1593); [Coordinates(1.0, 1.3749999999999987), 50, 50]
-; GreyBlock; (-1091, -1534); [Coordinates(5.025000000000004, 1.0), 50, 50]
-; GreyBlock; (586, -2506); [Coordinates(1.0, 7.975000000000046), 50, 50]
-; GreyBlock; (297, -2153); [Coordinates(14.800000000000143, 1.0), 50, 50]
-; GreyBlock; (-238, -2150); [Coordinates(1.0, 9.800000000000072), 50, 50]
-; GreyBlock; (-633, -1913); [Coordinates(4.324999999999994, 1.0), 50, 50]
-; GreyBlock; (-455, -1913); [Coordinates(1.0, 12.125000000000105), 50, 50]
-; GreyBlock; (-234, -1709); [Coordinates(14.725000000000142, 1.0), 50, 50]
-; GreyBlock; (-49, -1942); [Coordinates(4.649999999999999, 1.0), 50, 50]
-; GreyBlock; (-432, -1502); [Coordinates(22.599999999999785, 1.0), 50, 50]
-; GreyBlock; (451, -1946); [Coordinates(1.0, 5.725000000000014), 50, 50]
-; GreyBlock; (487, -1946); [Coordinates(14.250000000000135, 1.0), 50, 50]
-; GreyBlock; (649, -1746); [Coordinates(1.0, 5.250000000000007), 50, 50]
-; GreyBlock; (758, -2347); [Coordinates(18.62500000000001, 1.0), 50, 50]
-; GreyBlock; (988, -2310); [Coordinates(1.0, 3.6499999999999906), 50, 50]
-; GreyBlock; (1639, -2321); [Coordinates(1.0, 19.624999999999954), 50, 50]
-; GreyBlock; (1639, -1225); [Coordinates(1.0, 7.9500000000000455), 50, 50]
-; GreyBlock; (1639, -840); [Coordinates(3.9999999999999893, 1.0), 50, 50]
-; GreyBlock; (1193, -2164); [Coordinates(5.2750000000000075, 1.0), 50, 50]
-; GreyBlock; (1193, -2124); [Coordinates(1.0, 4.549999999999997), 50, 50]
-; GreyBlock; (688, -1746); [Coordinates(4.1499999999999915, 1.0), 50, 50]
-; GreyBlock; (1063, -1746); [Coordinates(3.4749999999999917, 1.0), 50, 50]
-; GreyBlock; (1406, -2128); [Coordinates(1.0, 15.150000000000148), 50, 50]
-; GreyBlock; (846, -1706); [Coordinates(1.0, 5.025000000000004), 50, 50]
-; GreyBlock; (1406, -1225); [Coordinates(4.800000000000001, 1.0), 50, 50]
-; GreyBlock; (1406, -1378); [Coordinates(1.0, 3.7249999999999903), 50, 50]
-; GreyBlock; (1185, -1735); [Coordinates(1.0, 14.875000000000144), 50, 50]
-; GreyBlock; (1043, -1746); [Coordinates(1.0, 18.600000000000012), 50, 50]
-; GreyBlock; (1043, -840); [Coordinates(12.55000000000011, 1.0), 50, 50]
-; GreyBlock; (1194, -1039); [Coordinates(5.800000000000015, 1.0), 50, 50]
-; GreyBlock; (-929, -261); [Coordinates(1.0, 6.075000000000019), 50, 50]
-; GreyBlock; (-1091, -432); [Coordinates(8.650000000000055, 1.0), 50, 50]
-; GreyBlock; (-1071, -636); [Coordinates(4.5749999999999975, 1.0), 50, 50]
-; GreyBlock; (-704, -1699); [Coordinates(1.0, 26.299999999999574), 50, 50]
-; GreyBlock; (-889, -1531); [Coordinates(1.0, 14.925000000000145), 50, 50]
-; GreyBlock; (-1249, -1364); [Coordinates(4.099999999999991, 1.0), 50, 50]
-; GreyBlock; (-929, -261); [Coordinates(9.62500000000007, 1.0), 50, 50]
-; GreyBlock; (-215, -403); [Coordinates(1.0, 11.450000000000095), 50, 50]
-; GreyBlock; (-451, -261); [Coordinates(1.0, 5.675000000000013), 50, 50]
-; GreyBlock; (-696, -90); [Coordinates(1.0, 4.4999999999999964), 50, 50]
-; GreyBlock; (-657, -1156); [Coordinates(9.450000000000067, 1.0), 50, 50]
-; GreyBlock; (124, -1487); [Coordinates(1.0, 18.65000000000001), 50, 50]
-; GreyBlock; (-187, -1338); [Coordinates(1.0, 4.599999999999998), 50, 50]
-; GreyBlock; (-491, -603); [Coordinates(12.675000000000113, 1.0), 50, 50]
-; GreyBlock; (-491, -931); [Coordinates(1.0, 6.725000000000028), 50, 50]
-; GreyBlock; (-187, -1142); [Coordinates(1.0, 7.100000000000033), 50, 50]
-; GreyBlock; (-195, -403); [Coordinates(13.17500000000012, 1.0), 50, 50]
-; GreyBlock; (846, -1462); [Coordinates(1.0, 4.624999999999998), 50, 50]
-; GreyBlock; (530, -1073); [Coordinates(10.450000000000081, 1.0), 50, 50]
-; GreyBlock; (530, -1222); [Coordinates(1.0, 3.9749999999999894), 50, 50]
-; GreyBlock; (696, -1280); [Coordinates(3.3999999999999915, 1.0), 50, 50]
-; GreyBlock; (530, -1269); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (337, -1458); [Coordinates(1.0, 18.10000000000004), 50, 50]
-; GreyBlock; (534, -836); [Coordinates(6.925000000000031, 1.0), 50, 50]
-; GreyBlock; (535, -814); [Coordinates(1.0, 9.225000000000064), 50, 50]
-; GreyBlock; (345, -403); [Coordinates(3.9999999999999893, 1.0), 50, 50]
-; GreyBlock; (739, -650); [Coordinates(19.049999999999986, 1.0), 50, 50]
-; GreyBlock; (1641, -621); [Coordinates(1.0, 3.8249999999999904), 50, 50]
-; GreyBlock; (1422, -290); [Coordinates(8.500000000000053, 1.0), 50, 50]
-; GreyBlock; (1414, -501); [Coordinates(1.0, 9.500000000000068), 50, 50]
-; GreyBlock; (1458, -76); [Coordinates(4.274999999999993, 1.0), 50, 50]
-; GreyBlock; (558, -403); [Coordinates(14.100000000000133, 1.0), 50, 50]
-; GreyBlock; (1218, -610); [Coordinates(1.0, 11.700000000000099), 50, 50]
-; GreyBlock; (562, -76); [Coordinates(13.725000000000128, 1.0), 50, 50]
-; GreyBlock; (293, -221); [Coordinates(1.0, 7.525000000000039), 50, 50]
