-; ClassicTarget; (257, -183); [Coordinates(1, 1)]
-; ClassicTarget; (264, -225); [Coordinates(1, 1)]
-; ClassicTarget; (275, -266); [Coordinates(1, 1)]
-; ClassicTarget; (294, -310); [Coordinates(1, 1)]
-; ClassicTarget; (316, -349); [Coordinates(1, 1)]
-; ClassicTarget; (351, -388); [Coordinates(1, 1)]
-; ClassicTarget; (397, -421); [Coordinates(1, 1)]
-; ClassicTarget; (427, -464); [Coordinates(1, 1)]
-; ClassicTarget; (492, -518); [Coordinates(1, 1)]
-; ClassicTarget; (464, -501); [Coordinates(1, 1)]
-; ClassicTarget; (523, -547); [Coordinates(1, 1)]
-; ClassicTarget; (542, -562); [Coordinates(1, 1)]
-; ClassicTarget; (564, -564); [Coordinates(1, 1)]
-; ClassicTarget; (605, -566); [Coordinates(1, 1)]
-; ClassicTarget; (636, -566); [Coordinates(1, 1)]
-; ClassicTarget; (671, -560); [Coordinates(1, 1)]
-; ClassicTarget; (699, -553); [Coordinates(1, 1)]
-; ClassicTarget; (732, -538); [Coordinates(1, 1)]
-; ClassicTarget; (753, -518); [Coordinates(1, 1)]
-; ClassicTarget; (773, -494); [Coordinates(1, 1)]
-; ClassicTarget; (788, -466); [Coordinates(1, 1)]
-; ClassicTarget; (810, -429); [Coordinates(1, 1)]
-; ClassicTarget; (827, -390); [Coordinates(1, 1)]
-; ClassicTarget; (845, -357); [Coordinates(1, 1)]
-; ClassicTarget; (864, -318); [Coordinates(1, 1)]
-; ClassicTarget; (880, -292); [Coordinates(1, 1)]
-; ClassicTarget; (893, -253); [Coordinates(1, 1)]
-; ClassicTarget; (901, -214); [Coordinates(1, 1)]
-; ClassicTarget; (906, -164); [Coordinates(1, 1)]
-; ClassicTarget; (912, -109); [Coordinates(1, 1)]
-; ClassicTarget; (914, -68); [Coordinates(1, 1)]
-; ClassicTarget; (906, -33); [Coordinates(1, 1)]
-; ClassicTarget; (906, -16); [Coordinates(1, 1)]
-; ClassicTarget; (901, 16); [Coordinates(1, 1)]
-; ClassicTarget; (891, 44); [Coordinates(1, 1)]
-; ClassicTarget; (882, 70); [Coordinates(1, 1)]
-; ClassicTarget; (860, 101); [Coordinates(1, 1)]
-; ClassicTarget; (830, 127); [Coordinates(1, 1)]
-; ClassicTarget; (808, 146); [Coordinates(1, 1)]
-; ClassicTarget; (762, 192); [Coordinates(1, 1)]
-; ClassicTarget; (751, 220); [Coordinates(1, 1)]
-; ClassicTarget; (738, 257); [Coordinates(1, 1)]
-; ClassicTarget; (721, 286); [Coordinates(1, 1)]
-; ClassicTarget; (682, 316); [Coordinates(1, 1)]
-; ClassicTarget; (662, 327); [Coordinates(1, 1)]
-; ClassicTarget; (619, 344); [Coordinates(1, 1)]
-; ClassicTarget; (597, 351); [Coordinates(1, 1)]
-; ClassicTarget; (575, 353); [Coordinates(1, 1)]
-; ClassicTarget; (549, 353); [Coordinates(1, 1)]
-; ClassicTarget; (512, 338); [Coordinates(1, 1)]
-; ClassicTarget; (488, 307); [Coordinates(1, 1)]
-; ClassicTarget; (471, 264); [Coordinates(1, 1)]
-; ClassicTarget; (453, 218); [Coordinates(1, 1)]
-; ClassicTarget; (438, 190); [Coordinates(1, 1)]
-; ClassicTarget; (397, 159); [Coordinates(1, 1)]
-; ClassicTarget; (366, 136); [Coordinates(1, 1)]
-; ClassicTarget; (329, 88); [Coordinates(1, 1)]
-; ClassicTarget; (312, 42); [Coordinates(1, 1)]
-; ClassicTarget; (283, -27); [Coordinates(1, 1)]
-; ClassicTarget; (268, -88); [Coordinates(1, 1)]
-; ClassicTarget; (266, -120); [Coordinates(1, 1)]
-; ClassicTarget; (262, -157); [Coordinates(1, 1)]
-; ClassicTarget; (277, -64); [Coordinates(1, 1)]
-; ClassicTarget; (299, 14); [Coordinates(1, 1)]
-; ClassicTarget; (786, 166); [Coordinates(1, 1)]
-; ClassicTarget; (908, -135); [Coordinates(1, 1)]
-; ClassicTarget; (904, -190); [Coordinates(1, 1)]
-; ClassicTarget; (460, 305); [Coordinates(1, 1)]
-; ClassicTarget; (460, 334); [Coordinates(1, 1)]
-; ClassicTarget; (462, 362); [Coordinates(1, 1)]
-; ClassicTarget; (473, 451); [Coordinates(1, 1)]
-; ClassicTarget; (466, 407); [Coordinates(1, 1)]
-; ClassicTarget; (473, 466); [Coordinates(1, 1)]
-; ClassicTarget; (473, 505); [Coordinates(1, 1)]
-; ClassicTarget; (473, 545); [Coordinates(1, 1)]
-; ClassicTarget; (464, 577); [Coordinates(1, 1)]
-; ClassicTarget; (458, 605); [Coordinates(1, 1)]
-; ClassicTarget; (447, 629); [Coordinates(1, 1)]
-; ClassicTarget; (740, 286); [Coordinates(1, 1)]
-; ClassicTarget; (738, 303); [Coordinates(1, 1)]
-; ClassicTarget; (727, 344); [Coordinates(1, 1)]
-; ClassicTarget; (727, 379); [Coordinates(1, 1)]
-; ClassicTarget; (716, 423); [Coordinates(1, 1)]
-; ClassicTarget; (708, 468); [Coordinates(1, 1)]
-; ClassicTarget; (708, 508); [Coordinates(1, 1)]
-; ClassicTarget; (714, 542); [Coordinates(1, 1)]
-; ClassicTarget; (723, 579); [Coordinates(1, 1)]
-; ClassicTarget; (730, 623); [Coordinates(1, 1)]
-; ClassicTarget; (425, 647); [Coordinates(1, 1)]
-; ClassicTarget; (381, 662); [Coordinates(1, 1)]
-; ClassicTarget; (375, 664); [Coordinates(1, 1)]
-; ClassicTarget; (355, 669); [Coordinates(1, 1)]
-; ClassicTarget; (283, 688); [Coordinates(1, 1)]
-; ClassicTarget; (312, 686); [Coordinates(1, 1)]
-; ClassicTarget; (260, 710); [Coordinates(1, 1)]
-; ClassicTarget; (223, 716); [Coordinates(1, 1)]
-; ClassicTarget; (186, 725); [Coordinates(1, 1)]
-; ClassicTarget; (155, 727); [Coordinates(1, 1)]
-; ClassicTarget; (133, 734); [Coordinates(1, 1)]
-; ClassicTarget; (96, 745); [Coordinates(1, 1)]
-; ClassicTarget; (81, 743); [Coordinates(1, 1)]
-; ClassicTarget; (57, 753); [Coordinates(1, 1)]
-; ClassicTarget; (40, 758); [Coordinates(1, 1)]
-; ClassicTarget; (18, 771); [Coordinates(1, 1)]
-; ClassicTarget; (-3, 790); [Coordinates(1, 1)]
-; ClassicTarget; (727, 638); [Coordinates(1, 1)]
-; ClassicTarget; (747, 645); [Coordinates(1, 1)]
-; ClassicTarget; (769, 647); [Coordinates(1, 1)]
-; ClassicTarget; (790, 651); [Coordinates(1, 1)]
-; ClassicTarget; (823, 651); [Coordinates(1, 1)]
-; ClassicTarget; (851, 662); [Coordinates(1, 1)]
-; ClassicTarget; (864, 662); [Coordinates(1, 1)]
-; ClassicTarget; (886, 666); [Coordinates(1, 1)]
-; ClassicTarget; (910, 669); [Coordinates(1, 1)]
-; ClassicTarget; (934, 669); [Coordinates(1, 1)]
-; ClassicTarget; (967, 675); [Coordinates(1, 1)]
-; ClassicTarget; (991, 677); [Coordinates(1, 1)]
-; ClassicTarget; (1015, 684); [Coordinates(1, 1)]
