-; GreyBlock; (380, 32); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (545, 18); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (595, 65); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (552, 147); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (221, 70); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (222, 119); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (426, 195); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (475, 196); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (545, 66); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (378, 81); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (450, -84); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (330, 81); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (537, -83); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (491, -83); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (453, 311); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (566, -120); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (614, -170); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (668, -116); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (669, -42); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (714, 2); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (523, 196); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (668, -71); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (715, 67); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (714, 116); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (637, 261); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (715, 166); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (667, 215); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (589, 310); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (530, 311); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (482, 311); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (418, 312); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (372, 311); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (308, 264); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (270, 215); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (222, 166); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (222, 20); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (272, -122); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (272, -27); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (272, -75); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (321, -168); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (400, -83); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (350, -129); [Coordinates(1, 1), 50, 50]
-; Spawn; (617, -121); [Coordinates(1, 1)]
-; GreyBlock; (357, 311); [Coordinates(1, 1), 50, 50]
-; ClassicTarget; (358, 308); [Coordinates(1, 1)]
-; ClassicTarget; (523, 193); [Coordinates(1, 1)]
-; ClassicTarget; (419, 190); [Coordinates(1, 1)]
-; ClassicTarget; (445, -73); [Coordinates(1, 1)]
-; GreyBlock; (714, 47); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (394, 145); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (567, 309); [Coordinates(1, 1), 50, 50]
-; ClassicTarget; (634, 267); [Coordinates(1, 1)]
-; ClassicTarget; (279, -158); [Coordinates(1, 1)]
