-; Spawn; (35, 808); [Coordinates(1, 1)]
-; GreyBlock; (-52, 41); [Coordinates(0.4249999999999995, 17.0500000000001), 50, 50]
-; GreyBlock; (-38, 41); [Coordinates(99.65000000000553, 0.4249999999999995), 50, 50]
-; GreyBlock; (-52, 886); [Coordinates(99.80000000000557, 0.47499999999999953), 50, 50]
-; ShootableBlock; (314, 62); [Coordinates(0.4499999999999995, 16.575000000000127), 50, 50]
-; GreyBlock; (625, 809); [Coordinates(3.1749999999999923, 1.7749999999999972), 50, 50]
-; GreyBlock; (630, 60); [Coordinates(3.0499999999999927, 10.37500000000008), 50, 50]
-; GreyBlock; (1365, 527); [Coordinates(3.0749999999999926, 7.275000000000036), 50, 50]
-; GreyBlock; (1365, 58); [Coordinates(3.1499999999999924, 5.100000000000005), 50, 50]
-; GreyBlock; (2153, 48); [Coordinates(3.0999999999999925, 12.300000000000107), 50, 50]
-; GreyBlock; (3018, 309); [Coordinates(3.124999999999993, 11.900000000000102), 50, 50]
-; GreyBlock; (3018, 51); [Coordinates(3.274999999999992, 0.5749999999999996), 50, 50]
-; GreyBlock; (4939, 44); [Coordinates(0.39999999999999947, 17.325000000000085), 50, 50]
-; ClassicTarget; (1386, 360); [Coordinates(2.2249999999999956, 2.149999999999996)]
-; ClassicTarget; (2183, 730); [Coordinates(1.849999999999997, 1.7249999999999974)]
-; ClassicTarget; (3062, 160); [Coordinates(1.3999999999999986, 1.3249999999999988)]
-; GreyBlock; (3839, 653); [Coordinates(3.0749999999999926, 4.825000000000001), 50, 50]
-; GreyBlock; (3839, 59); [Coordinates(3.0749999999999926, 7.700000000000042), 50, 50]
-; ClassicTarget; (3891, 530); [Coordinates(1, 1)]
-; ClassicTarget; (4834, 286); [Coordinates(0.5749999999999996, 0.5999999999999996)]
-; ClassicTarget; (632, 628); [Coordinates(2.924999999999993, 2.724999999999994)]
