-; GreyBlock; (474, 20); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (573, 26); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (580, 28); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (579, 68); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (579, 118); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (578, 168); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (528, 168); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (480, 167); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (477, 117); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (477, 68); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (468, 20); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (468, -29); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (468, -77); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (467, -126); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (515, -126); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (565, -126); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (614, -126); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (664, -125); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (714, -123); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (715, -75); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (715, -27); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (714, 21); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (715, 68); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (715, 117); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (715, 165); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (715, 214); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (716, 264); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (716, 313); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (667, 313); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (617, 312); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (568, 312); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (518, 312); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (468, 312); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (418, 312); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (369, 311); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (368, 272); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (368, 223); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (369, 181); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (369, 136); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (370, 89); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (370, 46); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (371, -2); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (371, -50); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (372, -90); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (375, -138); [Coordinates(1, 1), 50, 50]
-; Spawn; (528, 73); [Coordinates(1, 1)]
-; ClassicTarget; (419, -187); [Coordinates(1, 1)]
-; ClassicTarget; (527, 173); [Coordinates(1, 1)]
