-; GreyBlock; (474, 108); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (492, 141); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (519, 190); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (533, 232); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (539, 280); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (590, 280); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (662, -335); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (660, -293); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (658, -248); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (698, -334); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (745, -243); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (862, -247); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (860, -334); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (896, -333); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (861, -296); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (931, -331); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (967, -288); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (968, -245); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (946, -241); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (906, -247); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (956, -327); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (967, -360); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (932, -411); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (859, -425); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (898, -410); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (656, -382); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (727, -370); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1028, -241); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1028, -282); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1036, -314); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1043, -344); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1046, -379); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1071, -399); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1032, -420); [Coordinates(1, 1), 50, 50]
